FIPS,Incidence_Rate,Avg_Ann_Incidence,Recent Trend,StateFIPS,Mortality_Rate,Avg_Ann_Deaths,State,AreaName,All_Poverty,M_Poverty,F_Poverty,Med_Income,M_With,M_Without,F_With,F_Without,All_With,All_Without,POPESTIMATE2015
05011,86.3,13,stable,05,68.3,11,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05013,82.5,6,stable,05,70.2,5,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05015,59.1,25,stable,05,47.7,20,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05017,76.4,12,stable,05,70.2,12,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05019,71.6,19,stable,05,53.3,15,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05021,108.7,26,stable,05,80.1,20,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05023,83.6,38,stable,05,70.5,32,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05025,77.5,9,stable,05,67,7,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05027,72,21,stable,05,62.6,19,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05029,75,21,stable,05,55.1,16,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05031,74.6,74,stable,05,49.2,48,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05033,79.1,56,stable,05,61.8,43,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05035,75.6,37,stable,05,72.2,36,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05037,77.5,18,stable,05,75.7,17,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05039,82.2,9,stable,05,74,9,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05041,79.2,13,stable,05,62.8,11,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05043,77.3,17,falling,05,66.9,15,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05045,75.9,78,stable,05,61.3,61,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05047,77.1,19,stable,05,70.1,17,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05049,64.7,14,stable,05,51.3,11,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05051,80.6,121,stable,05,62.5,95,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05053,96.1,21,stable,05,66.9,14,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05055,89.2,45,stable,05,69.6,34,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05057,60.6,17,stable,05,55.6,16,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05059,94.2,41,stable,05,75.3,32,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05061,96.2,16,stable,05,83.1,14,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05063,82.3,38,stable,05,59.3,27,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05065,55.9,13,stable,05,48.4,11,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05067,104.4,24,stable,05,83.5,19,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05069,97.5,84,stable,05,67.3,58,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05071,97.2,29,falling,05,67.9,20,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05073,98.1,12,falling,05,76.8,9,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
05075,102.7,25,stable,05,82.3,20,AR,Arkansas,553644.0,247746.0,305898.0,41371.0,1200917.0,216142.0,1292843.0,195291.0,2493760.0,411433.0,2978204.0
